link_text,url,category,is_internal,scraped_from,scraped_date
Skip to main content,https://www.sab.ac.lk/#main-content,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Online Teaching,https://www.sab.ac.lk/online-video-tutorials,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Procurement System,http://online.sab.ac.lk/procurement/,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Exam Results,https://www.sab.ac.lk/results,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Downloads,https://www.sab.ac.lk/downloads,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Notices,https://www.sab.ac.lk/notices,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Vacancies,https://www.sab.ac.lk/vacancies,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Staff Login,https://www.sab.ac.lk/staff-directory/login.php,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Email,https://mail.google.com/mail/?tab=rm&ogbl,Other,False,https://www.sab.ac.lk/,2025-08-13 17:09:26
VLE,http://vle.sab.ac.lk/,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Contact Us,https://www.sab.ac.lk/contact,Contact,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
About us,https://www.sab.ac.lk/about-the-university,About,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Vision & Mission,https://www.sab.ac.lk/vision-mission,About,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
History,https://www.sab.ac.lk/history,About,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Overview,https://www.sab.ac.lk/overview,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Graduate Profile,https://www.sab.ac.lk/graduate_profile,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Chancellor,https://www.sab.ac.lk/chancellor,About,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Vice-Chancellor,https://www.sab.ac.lk/vice-chancellor,About,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Past Chancellors,https://www.sab.ac.lk/past-chancellors,About,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
Past Vice-Chancellors,https://www.sab.ac.lk/past-vice-chancellors,About,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
The Council,https://www.sab.ac.lk/the-council,Other,True,https://www.sab.ac.lk/,2025-08-13 17:09:26
